,title,plot
0,4 the People,"Aravind (Arun), Vivek (Bharath), Eshwar (Arjun Bose) and Shafeek (Padma Kumar) are four engineering students from economically struggling families that were victims of society's corruption in one way or the other. Enraged by various injustices happening around them, the group take the law into their own hands and form the secretive clique called 4 The People that targets corrupt officials. They create an identity for themselves with their attire and mode of operation. They dress up in all black and ride bullets. They have a website where the public can lodge their complaints. From the complaints lodged they chose an official and cut their dominant arm to send a message to other officials and expose them in media with relevant evidences that they collect before attacking a target. The group gains a lot of public support and is regarded as heroes. Their actions also lead to government officials refusing to take bribes in fear of someone lodging a complaint against them to 4 The People. Soon, the police are on their track. A young cop Rajan Mathew (Narain) is in hot pursuit of the gang who are now targeting a corrupt minister. In a racy climax, the foursome attempts to kill the minister, but fails. Seeing the brutality of the police, the students come to the support of the foursome. One of the students kills the minister and is joined by three more students. It is concurrently revealed that these four students were benefited from 4 The People's influence in the society. They escape with the help of other students who were present there and forms a gang of four. The revolution continues."
1,Aa Gaya Hero,"ACP Ravindra Varma (Govinda) is a daredevil and sincere police officer who has been called in order to nab a dreaded terrorist (Milind Shinde). During his attempts to catch the terrorist, Ravindra Varma realises that there are two ministers (Surendra Pal and Makrand Deshpande) who work hand in glove with the said terrorist.
Besides them, there are two brothers (Murali Sharma and Ashutosh Rana) who form the right hand of the two corrupt ministers. Does the righteous ACP Ravindra Varma manage to bring the crooks to book, or does he become unsuccessful in doing so, is what forms the rest of the film."
2,Aadmi (1993 film),"Aadmi is the story of an honest man (Vijay M. Srivastav) and his fight against corruption and the country's traitors, but he is trapped and jailed for a crime (murder of his own parents and brother), which he never committed. Vijay Srivastav had lived a middle-classed lifestyle in Bombay along with dad, Mohanlal, mom, Sharda, and a younger brother, Raju. His father and brother managed a restaurant named ""Sahiba"", while Vijay worked as a Supervisor at the Ordnance Factory that manufacturers RDX for the Government of India and also moonlighted as a self-defense instructor. He met with wealthy Rekha, the only daughter of Advocate Saxena, and both fell in love with each other.
Their respective parents met and arranged their marriage. While his father went to invite Vijay's office boss Trikal, he witnessed Trikal's terrorist activities. Trikal and his son-in-law, Minister D. P. Singh were involved with anti-state activities. They sent two henchmen to kill the family of Vijay. In a bomb blast, all three members of Vijay's family were murdered and Vijay was arrested by the police and charged with killing his parents and brother, tried in court, found guilty, and sentenced to five years in jail. On his first day behind bars, he is approached by jailor Samsher Singh as well as DCP Deshmikh, who asks him to cooperate and abduct one Deepak, the son of an underworld don, and if he does so, he will not only aid the police, but his crime will be pardoned and he will be released.
He comes out of jail, abducts Deepak and returns to jail with good faith, but later he realizes that Deepak has nothing to do with any underworld don, but he is the son of an honest man, Hiralal. The whole trap was made by his ex boss Trikal. Corrupt DCP Deshmukh is working for Trikal. Now Vijay bursts out in anger and fled from the jail to destroy all his enemies. Among other things, this film was notable for well known villain Shakti Kapoor's rare positive role of an honest police officer."
3,Aadu Puli Attam (1977 film),"The movie starts with Kamal and Rajini, close associates, playing this game in a bar. When the game is finished, the couple, along with their gang ransack the bar and loot the money. In brief, this is the story of a young man who dreams of becoming a policeman, but decides to oppose the police and heads a gang of thieves. When he discovers that his associates are much worse than thieves, he joins the police and nabs the criminals."
4,Aag Aandhi Aur Toofan,"The story revolves around attempts by several people to bring down Chandi, a vicious dacoit. Inspector Arjun Singh wants to destroy him to preserve the law. Durga, Seema, Geeta and Sikandar Khan, who all have reasons to seek revenge on Chandi, agree to help. During an encounter with Chandi, Arjun Singh is injured, but he saves everybody's life.
Another element of the plot involves Durga falling in love and marrying Chhalia. But when Durga learns that Chhalia is a traitor against their country, Durga kills him."
5,Aag Hi Aag,"Army Officer Bahadur Singh (Dharmendra) is recalled to duty and on the very day his wife Ganga (Moushumi Chatterjee) gives birth to son Vijay. While back on duty, Bahadur Singh's village is attacked by bandits, his sister is raped and killed. He goes to police to file a complaint, instead of, is shunned by the police, especially, the corrupt Police Inspector Kundan Singh (Gulshan Grover). Enraged, Bahadur Singh takes the law in his hands, joins a gang of bandits lead by Daulat Singh (Danny Denzongpa) and changes his name to Sher Singh.
One day, Sher Singh is shot by police in a village. Then Dr. Raghuveer Singh (Vinod Mehra) comes to treat him, but Sher Singh thinks that Raghuveer Singh is a policeman and kills him. When he realises his mistake, he repents and surrenders to police. Years pass by and Sher Singh's son Vijay (Chunky Pandey) grows up and falls in love with Aarti (Neelam). Aarti is the daughter of Chaudhary, none other than Daulat Singh. On the other side, Suraj Singh (Shatrughan Sinha), the son of Raghuveer Singh, becomes ACP. Suraj has only one mission; find Sher Singh and kill him to take revenge of his father's murder. This gives more twists and turns in the story which leads to a dead end with many people to repent."
6,Aai (film),"Sakthivel alias Velu is living happily with his sister Lakshmi and friend Pazhani in Palani. He stays away from all wanted troubles and is forced to resort to fighting to defend his sister from the local rowdy Raghavan.
A flashback follows, where it is revealed that Velu is a military officer and Lakshmi is actually the sister of his best friend, Police Officer Mani of Chennai, who wants her to become a collector. Velu and Mani both clean up the society by punishing corrupt police officers. One day, Mani notices a wine shop opposite to the school where his wife Kanmani teaches. Mani, Kanmani, Velu, and the schoolchildren destroy the wine shop by throwing and breaking bottles and Velu burning the shop.
The shop is owned by Naachiyar. Naachiyar threatens Velu that he will destroy the school, but Velu prevents him by pouring oil at him, saying that before he destroys the school, Velu will destroy him. The next day, two wine shop men hide a bomb inside the school, under Naachiyar's plan. After getting a call from Kanmani, Velu and Mani both save the school children and Kanmani altogether. Unfortunately, Mani gets stabbed by a wine shop man and was thrown off from the school building. Velu tries to save Mani, but he dies. Mani gave an important wish to Velu, saying that his desire is to make his sister a collector.
Later, Velu drags Naachiyar from the police department, shows Mani's ashes to him, and then shoots him twice. It is also revealed that Velu had gone into hiding and maintained a low profile to protect him and Lakshmi from Naachiyar. After shooting Naachiyar, the military court said that Velu is innocent, but had resigned from his military job to take care of Lakshmi and makes sure that she becomes a collector, as Mani wished."
7,Aaj Ka Ravan,"A journalist who is investigating arms deals and other crimes against the state is shot and killed, so Shanti (Indira Krishna), who is also a journalist, swears that she will bring the culprit Vishtar Nath Mohan Joshi to justice. One night Shanti gets molested, but a man, Shankar (Mithun Chakraborty) comes to her rescue. She tells him everything and makes him her brother by tying a Raakhee.
One day Shanti gives Shankar a roll of film which implicates Vishtar Nath directly in his illegal arms deals. Shankar immediately takes the roll of film to the police commissioner who subsequently destroys it and gets Shankar arrested for having RDX in his car by a rogue and despicable police inspector (Tej Sapru). Shankar is beaten black and blue back at the police station and then in the guise of giving him bail is told he can leave.
As he leaves the police station he is confronted by rogue police officers and Nath's men, tied up and is shot several times and left for dead. He is saved by his now sister Shanti, but then he gets attacked in the hospital by Naths goon Bakra (Kasam Ali). Shankar beats him mercilessly and kills him brutally. This is witnessed by inspector Vikram (Siddarth Dhawan) who tells him that he a “Raavan” (A Devil), and that he's now a killer.
Shankar says he's tried being an angel and a law abiding citizen, but got nothing but humiliation and death threats- so now he's going to be the devil and take down the underworld kingpin Nath. The rest of the film depicts how Shankar takes down the underworld singlehandedly with inspector Vikram hot on his trail, who also loves his sister Shanti.
In all this time taking down the underworld and killing the bad guys, Shankar also has time for falling in love, singing and dancing with his love interest Mona (Meenakshi)."
8,Aaj Ke Shahenshah,"The film begins with love birds Saawan & Barkha. Apart from that, Pinky is an adamant and techy, daughter of a hoodlum Kanchan Seth infatuated with Saawan. Now, Saawan & Barkha fraternize with their respective brothers Barsati & Vikram / Vicky. Vicky is justice-seeking whereas Barsati is a ruffian. Here, the situation turns, as the two men are rivals and declare abstention of the lovers. Bewildered, Saawan & Barkha seek reality. Prior, Vicky & Barsati are good friends until the arrival of Nisha, a girl loved by both. However, Nisha tunes Vicky when outraged Barsati molests her, so, she is detached from Vicky and the warfare aroused. Nevertheless, Saawan & Barkha stick strongly. Parallelly, Kanchan Seth settles Pinky's alliance with Saawan which he denies, and elopes with Barkha, and destiny lands them at Nisha. Ascertaining the situation, Nisha determines to unite them by resolving the rift. Besides, Kanchan Seth words his daughter to retrieve Saawan but he falsifies by means to harm. Being cognizant of it, Vicky & Barsati bind and safeguard the lovers. Finally, the movie ends with Barsati sacrificing his life as contrition for his sin by knitting Vicky & Nisha."
9,Aandhi-Toofan,"Notorious biker-gangster Balvir (Danny Denzongpa) kills Inspector Ranjit Singh (Shashi Kapoor), who has arrested Balvir. After Killing Ranjit, Balvir removes Sheela's clothes and strips her naked and rapes her very brutally. Now Sheela has only one purpose, to take revenge on Balvir Thakur.
Sheela (Hema Malini), hires two men, Raghunath Shastri ""Raghu"" (Shatrughan Sinha) and Balwant Yadav ""Ballu"" (Mithun Chakraborty), to capture Balvir alive and bring him to her."
